KATALOG RONGGOLAWE;;;;;;;;
;;;;;;; - ;
HARI;:  JUM'AT, 31 MEI 2024;;;;;;;
;;;;;;;;
NO.;NAMA BARANG;MASUK;KET; HARGA BELI ; HARGA JUAL ; HARGA JUAL KESELURUHAN ; MODAL TOTAL ; LABA 
144;TC 6;5;PCS;10.500;13.500;67.500;52.500;15.000
145;TDD T DRAR DALAM 1\2;14;pcs;12.064;19.000;266.000;168.896;97.104
146;TDD T DRAR DALAM 3\4;10;pcs;21.772;30.000;300.000;217.720;82.280
147;TEE 1\2;150;PCS;2.300;3.500;525.000;345.000;180.000
148;"TEE 3""";20;PCS;18.448;26.000;520.000;368.960;151.040
149;THINNER AVIA A;6;500 CC;22.847;26.000;156.000;137.082;18.918
150;THINNER AVIA A LITER;6;LITER;36.722;41.500;249.000;220.332;28.668
151;WOOD ECO PLITUR 103;2;KG;73.778;110.000;220.000;147.556;72.444
152;WOOD ECO PLITUR 105;2;KG;73.778;110.000;220.000;147.556;72.444
153;WOOD ECO PLITUR 107;2;KG;73.778;110.000;220.000;147.556;72.444
158;PAKU 10  CM;30;KG;13.000;22.000;660.000;390.000;270.000
159;PAKU 7 CM;30;KG;13.000;22.000;660.000;390.000;270.000
160;;;;;; - ;;
161;;;;;; - ;;
;;;;;;;;
;;;;;;   ;;
